ID_GodotObject,cluster_value,merged_text
2000116346340,5,﻿20_Coronavirus Maskenpflicht Supermarkt spätestens ab Montag Entscheidung Matura ostern Coronavirus -maskenpflicht-im-supermarkt-spaetestens-ab-montag-entscheidung-ueber-matura-nach- ostern Zahl positiv Coronavirus getesteten Österreich mehr 10000 steigen Salzburg Altenmarkt Zell see Saalbach quarantäne stellen wichtig_kürzen stehen Dienstag 23 Uhr geben Österreich laut Gesundheitsministerium 10180 bestätigen corona-fälle Bundesland Tirol 2358 Niederösterreich 1636 oberösterreich 1635 Wien 1417 Steiermark 1063 Salzburg 949 Vorarlberg 659 Kärnt 278 Burgenland 185 laut Innenministeriumszahle 128 Mensch Covid-19 sterben stehen 10 Uhr 1095 gelten genesen Tirol letzter 24_Stunde 117 Genesen 57 neuinfektion erstmals mehr Mensch erholen neu anstecken erklären Landeshauptmann Günther platt övp Dienstagnachmittag zeigen richtig sein hinweisen möglich Fehler Tiroler Behörde nachgehen tragen mund-nasen-masken Supermärkt Drogerien drogeriemärkn spätestens ab Montag 6 April Pflicht heißen erlass Gesundheitsministeriums verteilen sollen Maske schon ab Mittwoch 1 April quarantänegebien Salzburg ausweiten Altenmarkt Zell see Saalbach zusätzlich quarantäne stellen Entscheidung Maturatermin erst ostern geben sagen Bildungsminister_Heinz_faßmann övp Dienstag Termin geben Ende Notbetriebs Schule kommend Woche sollen zudem schulpsychologen Sozialarbeiter Schüler per Telefon kontaktieren der seit 16 März Kontakt mehr geben 3500 außerordentlich Zivildiener treten Mittwoch Dienst Versorgung Betreuung alt Mensch sowie kranken- rettungstransporen helfen personalengpässe verhindern derzeit finden Stichprobentestung 2000 Person statt Ende Woche abschätzen vieler Person tatsächlich infizieren bei medizinisch_Personal entsprechend Test durchführen medizinisch_Universität Innsbruck Tiroler corona-hotspot Ischgl sogenannter Antikörpertest durchführen sollen Rückschlüsse möglich vieler Infektion Symptom verlaufen zudem eruieren Ischgl bereits Art lokal Herdenimmunität entstehen wichtig_corona-regel lauten bleiben weit möglich Hause schränken sozialkontakt einkaufen Grundversorgung gewährleisten gestatten Aufenthalt öffentlich_Raum allein Person gemeinsam_Haushalt halten Abstandsregel mindestens_Meter weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus Podcast coronavirus-lockdown -- neu leben Isolation richtig verhalten heimisch quarantäne aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond red 3132020 Apahelmut_Fohringerfoto apaexpa Stefanie Oberhauserfoto apaherberen_p Oczeretfoto apabarbara_Gindlfoto Epachristian brunafoto Apronald zak apaschlagerfoto Georg Hochmuthpool via apaherberen Pfarrhoferap Photopatrick Semansky Reutersleonhard_Foeger epafoto apaexpa Johann Groderfoto ap photobebeto Matthews | Maskenpflicht Supermarkt spätestens ab Montag Entscheidung Matura ostern
2000117204747,5,﻿20_Coronavirus neu Verordnung Maskenpflicht bei_betreten öffentlich Ort Geschlossen räumencoronavirus-neue-verordnung-maskenpflicht-beim-betreten-oeffentlicher-orte-in-geschlossenen- Raeumen ab Freitag zusammenkünfter zehn Person erlauben begräbnisse 30 Person -- Mindestabstand bleiben Meter wichtig_kürzen donnerstagabend werden Verordnung veröffentlichen ab Freitag öffentlich leben regulieren zusammenkünfter zehn Person erlauben begräbnisse 30 Person Mindestabstand Meter gegenüber Haushaltsfremde Person bleiben öffentlich_Raum aufrecht gleichzeitig gelten Geschlossen öffentlich räumen Maskenpflicht bei_betreten ab 15 Mai dürfen gottesdienste stattfinden Prostitution bleiben verbieten Geschäft pro Kunde 10m2 Fläche vorzusehen bislang 20m2 ganz Verordnung finden pdf Mitte April geben 588000 arbeitslos Österreich Stichtag 27 April leicht weniger erklären Arbeitsministerin Christine aschbach övp Donnerstag künftig sollen zahlen Beginn Woche gemeinsam Kurzarbeitszahle präsentieren Mittel Kurzarbeit zehn Milliarde Euro aufstocken derzeit betreffen Kurzarbeit mehr 12 Million Arbeitnehmer Großbritannien schwer Pandemie betreffen verzeichnen 26771 coronavirus-todesfälle Anstieg 647 gegenüber Mittwoch Premierminister Johnson sehen Höhepunkt Pandemie Land überschreiten Großbritannien richtig richtig Zeit tun geben Johnson überzeugen USA verlieren letzter sechs Woche mehr 30 Million Mensch Job Russland Regierungschef Mischustin Coronavirus infizieren Deutschland werden neu Lockerunge bekennen Spielplatz Museum zoos sowie Kirche dürfen Auflage öffnen 6 Mai entscheiden Bedingung Schule kindergärten öffnen Grenzöffnung Österreich geben Angela Merkel bayerisch Ministerpräsident Markus söd bedeckt Österreich fahren sagen söd regen Urlaub Bayern besuchen Wiener pflegeheime ab 4 Mai möglich streng Schutzmaßnahmen wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter nächster Person red 3042020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Imagesindependent photo Afoto Punz Apaafppoolandrew Milliganfoto Aparoland_schlagerfoto apaschlagerfoto Apafohringer | neu Verordnung Maskenpflicht bei_betreten öffentlich Ort Geschlossen_räumen
2000117225352,5,﻿20_Coronavirus Einigung faßmann Gewerkschaft Fenstertag USA erlauben Einsatz Remdesivir Coronavirus -einigung-zwischen-fassmann-und-gewerkschaft-bei-fenstertagen-usa-erlauben-einsatz-von- Remdesivir Wien werden Heim Asylwerber evakuieren Ryanair drohen lauda-schließung wichtig_kürzen donnerstagabend werden Verordnung veröffentlichen ab Freitag öffentlich leben regulieren zusammenkünfter zehn Person erlauben begräbnisse 30 Person Mindestabstand Meter gegenüber Haushaltsfremde Person bleiben öffentlich_Raum aufrecht gleichzeitig gelten Geschlossen öffentlich räumen Maskenpflicht bei_betreten ab 15 Mai dürfen gottesdienste stattfinden Prostitution bleiben verbieten Geschäft pro Kunde zehn quadratmeter Fläche vorzusehen bislang 20 Detail Verordnung finden Gesundheitsminister_Rudolf_anschober_grün sehen Mai Monat Entscheidung groß öffnungsschritten gehen groß Aufmerksamkeit sindheitsbehörden einher weltweit stehen Tag Arbeit ganz Zeichen corona-krise üblich Demonstration finden Großteils statt Wien geben Flüchtlingsbetreuungseinrichtung zumindest 15 coronavirus-fälle Haus Erdberg werden evakuieren 400 Person messen Wien bzw ehemalig Krankenhaus Floridsdorf bringen ryanair-chef Michael Oleary österreichisch Tochter Laudamotion Wien Schließung drohen Airline kommen massiv Stellenabbau 3000 weltweit 18000 stellen sollen kürzen streichen ungarisch Billigfluglinie wizz Air erstmals Wien starten zwei Maschine heben ab dortmund Lissabon Russland Regierungschef Mischustin Coronavirus infizieren wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter Person der_zusammenleben red 152020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Apahelmut_Fohringerfoto Apahelmut_Fohringerfoto Apahan_Punzfoto Imagesindependent photo Afoto Punz Apaafppoolandrew Milliganfoto Aparoland_schlagerfoto apaschlagerfoto Apafohringer | Einigung faßmann Gewerkschaft Fenstertag USA erlauben Einsatz Remdesivir
2000117694963,5,﻿20_Coronavirus Arbeitslosenzahl immer hoch corona-krise Opposition kritisieren Blümels Budget Coronavirus -arbeitslosenzahl-immer-noch-viel-hoeher-als-vor-corona-krise-opposition-kritisiert-bluemels- Budget Zahl arbeitsloser Schulungsteilnehmer Vergleich vorwoch allerdings 9000 523300 zurückgehen wichtig_kürzen Österreich derzeit 523300 Person arbeitslos melden immer 123000 mehr corona-krise seit Mitte April jedoch bereits 65000 Person Beschäftigung finden stark Rückgang gegenüber vorwoch Gastronomie 5000 arbeitsloser weniger Antragszahle corona-kurzarbeit seit letzter Woche wenig verändern Opposition Dienstag Auftakt Budgetberatunge Nationalrat erneut scharf_Kritik vorgelegen Budget üben fpö falsch Budget sprechen Neo Respektlosigkeit gegenüber Parlament Ortet fordern spö hinsichtlich corona-hilfsmaßnahmen echt Hilfe statt leer versprechen Geschäftsordnungsausschuss Nationalrats werden Antrag fpö Einrichtung covid-19-untersuchungsausschusses ablehnen övp grün Neo stimmen dagegen fpö spö dafür wegen sinkend Infektionszahl fast Gebiet Österreich stellen Bundeskanzleramt Vereinfachung corona-regeln Aussicht laut Mitteilung Dienstag sollen kürzen weniger klar Richtlini ausarbeiten Bundesländ sollen demnach Möglichkeit regional Lockerunge regional verschärfungen bekommen Weltgesundheitsorganisation klinisch Test malariamittels Hydroxychloroquin Behandlung coronavirus-infektion aussetzen möglicherweise Sterblichkeitsrat covid-19-patienten erhöhen Wirksamkeit covid-19-patienten seit lang umstritten US-Präsident_Donald_trump dennoch mitteilen nehmen Hydroxychloroquin Vorbeugung Coronavirus Brasilien Regierung empfehlen kürzlich Hydroxychloroquin chloroquin Behandlung Covid-19 Verbindung coronavirus-infektion Brasilien Montag 807 Mensch sterben USA 620 brasilen verzeichnen offiziell rund 375000 Infektionsfälle weltweit zweitgrößter Zahl coronavirus-erkrankungen USA 1637 Million USA verlegt unterdessen Beginn einreisebeschränkungen nicht-us-bürge Brasilien Dienstag 2359 Uhr amerikanisch Ostküstenzeit Gesundheitsminister_Rudolf anschober Kulturstaatssekretärin_Andrea Mayer beide grün präsentieren nächster öffnungsschritte Kunst Kultur Meter Abstand bleiben Grundregel Mayer möglich Abstand einhalten mund-nasen-schutz tragen Bühne Abstand einhalten outdoor-gästezahlen Sommer mehrere schreiten anheben Maskenpflicht bestehen frei übrigens Regierung Montag investitionspaket Gemeinde Stadt präsentieren bestehend zukünftig Investition sollen Milliarde Euro fördern Gemeinde Projekt einreichen investieren etwa Schule kindergärten Seniorenheim Maßnahme Energieeinsparung sowie Ausbau breitbandinternen Einreichungszeitraum erstrecken 31 Dezember 2021 Deutschland Rettungspaket aua-mutter Lufthansa Ausmaß neun Milliarde Euro zustimmen teilen Fluglinie danach deutsch Staat rund 300 Million Euro 20 Prozent Lufthansa übernehmen wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter Person der_zusammenleben red 2652020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Afpfoto Afpfoto Apahelmut_Fohringerfoto Screenshot Apahelmut_Fohringerfoto Apahelmut_Fohringerfoto Epapeter powellfoto Heiko Becker Epaomer Messinger | Arbeitslosenzahl immer hoch corona-krise Opposition kritisieren Blümels Budget
2000117773115,5,﻿20_Coronavirus trump beenden Kooperation who Ischgler Hotel schon 3 März Infektion informiertcoronavirus-trump-beendet-kooperation-mit-who-ischgler-hotel-schon-am-3-maerz-ueber-infektion-informiertmaskenpflicht gelten ab 15_Juni mehr drei Bereichen Gastronomie erst Uhr nachts zusperren müssen wichtig_kürzen US-Präsident_Donald_trump Ende Zusammenarbeit USA Weltgesundheitsorganisation who ankündigen USA who bisher Verfügung gestellt Mittel global gesundheitszwecken gehen sagen trump Freitag kurzfristig anberaumt Pressekonferenz bereits 3 März informieren isländisch Reiseleiterin betroffen Hotel Tirol mehrere corona-fälle leiten Nachricht erst zwei Tag spät Recherche Profil Zib_2 zudem zeigen intern Protokoll Landeskrisenstabs Situation Herunterspielt weit Infektionsfall bewusst öffentlich kommuniziert regierungsspitze geben weit Lockerungsschritt bekennen weniger Regel mehr Eigenverantwortung geben sagen Bundeskanzler_Sebastian_kurz_övp Maskenpflicht lockern ab 15_Juni mund-nasen-schutz mehr verpflichtend öffis gesundheitsbereich etwa Apotheke Dienstleistung ein-meter-abstand einhalten z -- friseure Mitarbeiter Gastronomie müssen weiterhin Mundschutz tragen sperrstunde Gastronomie Uhr nachts verlegen Beschränkung vier Person Tisch aufheben Regel Schule Bildungsminister_Heinz_faßmann övp Detail Samstag bekanntgeben ebenfalls Lockerunge geben darüber_hinaus enden 15_Juni Einreise Österreich Land entsprechend Vereinbarung quarantäne-pflicht Freitagmorg werden Budget Nationalrat beschließen ursprünglich haben schon Donnerstag beschließen sollen Abstimmung werden kurzfristig stoppen Grund Einwand spö-finanzsprech Jan krain Zahlenfehler hinweisen demnach sein Auszahlungsobergrenze laut Abänderungsantrag 102 Milliarde 102000 Euro liegen rund Zweieinhalbmonatig Schließung sperren Freitag fitnessstudios Thermen Freibäder Hotel Pension Campingplätze Kino wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter Person der_zusammenleben red 2952020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Reuter Jonathan Ernstfoto Reutersleonhard_Foeger Aparoland_schlagerfoto Apageorg Hochmuthfoto Apaafpjoe Klamarfoto Apageorg Hochmuthfoto Reutersleonhard Foegerfoto Aparoland_schlagerfoto Standard urban Apahelmut_Fohringerfoto Olivier Hoslet Epa | trump beenden Kooperation who Ischgler Hotel schon 3 März Infektion informieren
2000117805283,5,﻿20_Coronavirus acht positiv Fall amazon-verteilzentrum niederösterreichcoronavirus-acht-positive-faelle-in-amazon-verteilzentrum-in- niederoesterreich amazon-mitarbeiter Hauptwohnsitz Wien Fall Statistik Bundeshauptstadt zuordnen wichtig_kürzen Österreich Lage aktiv Coronavirus erkranken Person weiterhin stabil sieben Bundesland werden laut Gesundheitsminister_Rudolf_anschober_grün Neuinfektion mehr verzeichnen 45 46 neu Fall Wien auftreten oberösterreich 28 neu Wiener Fall hängen familiär clustern zusammen 17 werden firmen-screenings entdecken konkret betreffen positiv testergebnisse firmen-screenings 17 beschäftigen zwei Unternehmen -- davon sieben Mitarbeiter d amazon-verteilzentrums Großebersdorf Bezirk Mistelbach positiv Coronavirus testen werden Anlass firmen-screening erster positiv Fall Dienstag entdecken positiv Fall trotzdem Wiener Statistik aufschein liegen daran Mitarbeiter Wohnsitz Bundeshauptstadt Spanien Notstand verbunden Einschränkung öffentlich Leben zeitungsberichen zufolge 21 Juni ausdehnen Ministerpräsident pedro Sanchez wollen Parlament Zustimmung letzter zweiwöchigen Verlängerung bitten berichten el Pais zehn-quadratmeter-beschränkung Geschäft Kundenbereich Dienstleistung Museum gelten ab 30 Mai mehr bisher dürfen vieler Kunde gleichzeitig räumlichkeiten pro Person zehn quadratmeter Fläche Verfügung stehen märkten frei sowie freiluftbereich betriebsstätn geben zudem Maskenpflicht mehr Novellierung Covid-19-lockerungsverordnung seit Samstag Kraft Bildungsminister_Heinz_faßmann övp informieren Samstag aktuell Entwicklung Bereich Schule Unterricht Maske mehr bei_betreten Schule Gänge verlangen Sportunterricht ab 15_Juni geben -- frei klassenübergreifend sollen Sportart ausüben Einhaltung Abstandsregel erlauben bereits Freitag Regierung Lockerungsschritte bekennen geben Maskenpflicht lockern ab 15_Juni mund-nasen-schutz mehr verpflichtend öffis gesundheitsbereich etwa Apotheke Dienstleistung ein-meter-abstand einhalten z -- friseure Mitarbeiter Gastronomie müssen weiterhin Mundschutz tragen sperrstunde Gastronomie Uhr nachts verlegen Beschränkung vier Person Tisch aufheben US-Präsident_Donald_trump Ende Zusammenarbeit USA Weltgesundheitsorganisation who ankündigen USA who bisher Verfügung gestellt Mittel global gesundheitszwecken gehen sagen trump Freitag kurzfristig anberaumt Pressekonferenz bereits 3 März informieren isländisch Reiseleiterin betroffen Hotel Tirol mehrere corona-fälle leiten Nachricht erst zwei Tag spät Recherche Profil Zib_2 zudem zeigen intern Protokoll Landeskrisenstabs Situation Herunterspielt weit Infektionsfall bewusst öffentlich kommuniziert wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter Person der_zusammenleben red 3152020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Apahelmut_Fohringerfoto_Reutersleonhard_Foeger | acht positiv Fall amazon-verteilzentrum Niederösterreich
2000117813455,5,﻿20coronavirususa schicken Brasilien Großlieferung umstritten malaria- Mittel Coronavirus -usa-schicken-brasilien-grosslieferung-von-umstrittenem-malaria- Mittel amazon-verteilzentrum Niederösterreich werden acht positiv Sars-cov-2-fälle entdecken sieben Bundesland werden Neuinfektion mehr verzeichnen wichtig_kürzen vergangen sieben Tag geben Österreich Todesfall Zusammenhang Covid-19 Lage aktiv Coronavirus erkranken Person weiterhin stabil sieben Bundesland werden laut Gesundheitsminister_Rudolf_anschober_grün Neuinfektion mehr verzeichnen 45 46 neu Fall Wien auftreten oberösterreich 28 neu Wiener Fall hängen familiär clustern zusammen 17 werden firmen-screenings entdecken konkret betraffen positiv testergebnisse firmen-screenings 17 beschäftigen zwei Unternehmen -- davon sieben Mitarbeiter d amazon-verteilzentrums Großebersdorf Bezirk Mistelbach positiv Coronavirus testen werden Anlass Screening sein erster positiv Fall Dienstag entdecken positiv Fall trotzdem Wiener Statistik aufschein liegen daran Mitarbeiter Wohnsitz Bundeshauptstadt Lateinamerika Karibik Zahl corona-infektionen Million genau sagen 1016828 steigen Hälfte davon gehen Brasilien zurück rund 30000 tot außerdem vierthöch Todesrate Welt aufweisen Spanien Notstand verbunden Einschränkung öffentlich Leben zeitungsberichen zufolge 21 Juni ausdehnen Ministerpräsident pedro Sanchez wollen Parlament Zustimmung letzter zweiwöchigen Verlängerung bitten berichten el Pais zehn-quadratmeter-beschränkung Geschäft Kundenbereich Dienstleistung Museum gelten ab 30 Mai mehr bisher dürfen vieler Kunde gleichzeitig räumlichkeiten pro Person zehn quadratmeter Fläche Verfügung stehen märkten frei sowie freiluftbereich betriebsstätn geben zudem Maskenpflicht mehr Novellierung Covid-19-lockerungsverordnung seit Samstag Kraft Bildungsminister_Heinz_faßmann övp informieren Samstag aktuell Entwicklung Bereich Schule Unterricht Maske mehr bei_betreten Schule Gänge verlangen Sportunterricht ab 15_Juni geben -- frei klassenübergreifend sollen Sportart ausüben Einhaltung Abstandsregel erlauben bereits Freitag Regierung Lockerungsschritte bekennen geben Maskenpflicht lockern ab 15_Juni mund-nasen-schutz mehr verpflichtend öffis gesundheitsbereich etwa Apotheke Dienstleistung ein-meter-abstand einhalten z -- friseure Mitarbeiter Gastronomie müssen weiterhin Mundschutz tragen sperrstunde Gastronomie Uhr nachts verlegen Beschränkung vier Person Tisch aufheben wichtig_corona-regel_lauten_halten Abstand_mindestens_Meter Person der_zusammenleben waschen Hand red 162020 weit_Information_ages_beantworten Frage rund Coronavirus_Nummer 0800_555 621_sollen_Symptom_aufweisen rufen_landesweit gültig_Gesundheitshotline_1450_wichtig Frage_Antwort Coronavirus_aktuell_zahlen Coronavirus aktuell_Covid-19-situation Österreich ages_bestätigen_Fall_Testunge Österreich_Gesundheitsministerium_Hinweis Situation_verhaltensregeln mehrere_Fremdsprache_Integrationsfond Apahelmut_Fohringerfoto_Reutersleonhard_Foeger | USA schicken Brasilien Großlieferung umstritten malaria-mittel
2000119396183,5,﻿20_Coronavirus kroatisch Botschafter hoffen partiell Reisewarnung Schulstart halb Klasse Schichtbetrieb Coronavirus -kroatischer-botschafter-hofft-auf-nur-partielle-reisewarnung-schulstart-ohne-halbe-klassen-und-- Schichtbetrieb Diplomat sagen Schnelligkeit Wiener Entscheidung schockieren laut Bildungsminister faßmann künftig schulunterricht frei stattfinden wichtig_kürzen Mitternacht Reisewarnung Kroatien Kraft_treten einreisend Kroatien müssen negativ_pcr-test vorlegen binnen 48_Stunde Österreich testen lassen Grenzkontroll werden bereits verstärken lange wartezeiten Folge Botschafter Land Österreich daniel Gluncic zeigen Geschwindigkeit Entscheidung irritieren hoffen Rücknahme Pauschale Warnung schlagen stattdessen regional einschätzungen Gesundheitsminister_Rudolf_anschober_grün trotz Reisewarnung Testung Grenze letzter Tag Kroatien zurückkehren gelten verpflichtenden quarantäne anschober bitten Vorsicht Bildungsminister_Heinz_faßmann övp kündigen Zib_2 erster Eckpunkt Schulöffnung Herbst flächendeckend Schulschließung Maskenpflicht Unterricht geben mund-nasen-schutz erst ab Ampelfarbe gelb Eingangsbereich tragen Pressekonferenz Montag fügen hinzu häufig lüften Unterricht frei stattfinden Durchmischung Klasse vermeiden erneut umstellen Heimunterricht regional Zunahme Covid-19-erkranung Österreich Schule erst ab corona-ampelfarbe rot geben Schüler sekundarstufe ii ab rund 14 Jahr distance-learning schon früh Realität brauchen allerdings klar Definition ab wann Ampelfarbe springen sagen faßmann Ambition Ampelfarbe anpassen deutsch Gesundheitsminister Jens Spahn CDU warnen Zusammenhang erneut steigend corona-zahlen Deutschland feierlichkeiten wollen Bundesland Grenze veranstaltungsgrößen prüfen Neuseeland verschieben 19 September geplant Parlamentswahl vier Woche Grund corona-neuinfektionen Anfang vergangen Woche registrieren werden 100 Tag neu Fall immer mehr jugendlich Coronavirus infizier Italien Schließung Diskotheken Stranddisko beschließen Maßnahme gelten heute Montag 7 September red 1782020 Helmut Fohringer expa Johann Groder | kroatisch Botschafter hoffen partiell Reisewarnung Schulstart halb Klasse Schichtbetrieb
2000120059197,5,﻿20tagesüberblick_Coronavirus versch ärfter corona-maßnahmen privat treffen Indoor zehn Person beschränkttagesueberblick-coronavirus-verschaerfte-corona-massnahmen-private-treffen-indoor-auf-zehn-personen-beschraenktder neu Ampelschaltung stellen Salzburg Eisenstadt gelb Zwettl Orang Konsequenz corona-maßnahmen betreffend wichtig_kürzen sozialkontakt deutlich reduzieren privat feiern Indoor zehn Teilnehmer begrenzen eigen Wohnung gelten lediglich Empfehlung Gastronomie maximal zehn Person Tisch gestatten Konsumation geben sitzend Barbetrieb untersagen herrschen weitgehend Pflicht tragen mund-nasen-schutz Gastronomie gelten Maskenpflicht gäste außer sitzen Tisch märkten messen Maske frei tragen zehn-personen-regel gelten fitness- tanz- Sportkurse Indoor stattfinden Hochzeiten fallen ebenfalls zehn-personen-regel -- Indoor planen begräbnisse ausnehmen Österreich werden Donnerstag 780 neuinfektion Coronavirus registrieren 366 davon werden allein Wien melden Dänemark Österreich Reisewarnung aussprechen donnerstagabend werden corona-ampel schalten beide landeshauptstädte Salzburg Eisenstadt gelb Zwettl Orang Detail München kommend Wochenende erneut lokal begrenzt nächtlich Alkoholverbot verfügen werden 23 6 Uhr gelten betreffen davon fünf party-hotspots bekannt öffentlich Plätz isar-auen Gärtnerplatz Pandemie feiermeilen etablieren Oktoberfest werden bereits zuvor absagen red 1792020 Reutersleonhard_Foeger apabarbara_Gindlfoto apadpasven_Hoppe Dapd Sebastian Widmann Hans_Punz_| verschärfen corona-maßnahmen privat treffen Indoor zehn Person beschränken
2000120135831,5,﻿20 Wien Klinik favoriten nehmen corona-patienten mehr aufwien-klinik-favoriten-nimmt-keine-corona-patienten-mehr-aufkapazität erster Spital erschöpfen vieler Plätz Haus frei -- Österreichweit 68 Intensivpatient 38 Wien -- neu Regel Freizeitaktivität Wien -- Zahl aktiv sars-cov-2-infizierten Österreich Sonntag 8000er-marke überschreiten stehen 930 Uhr Sonntag 8100 Mensch aktiv infizieren liegen rund 1000 Person bisherig Höchstmarke Österreich Lockdowns binnen_24_Stunde kommen Sonntag 621 neuinfektion hinzu -- Samstag 813 rückläufig zahlen Spital Intensivstation liegend Patient Reproduktionsfaktor liegen Sonntag 129 Samstag mehr 18000 Test epidemiologisch Melderegister ems eintragen werden kommen Sonntag 12584 hinzu somit deutlich weniger vergangen Tag mehr zeigen Sonntag Wochenende Österreich weniger testen bzw auswerten besonders gering zahlen melden Burgenland 137 binnen_24_Stunde Kärnt 162 Wien kratzen 5000er-marke -- 4943 pcr-untersuchungen kommen Samstag Sonntag hinzu mehr 100000 Testunge vergangen Woche Gesundheitsminister_Rudolf_anschober_grün betonen vergangen Woche mehr 100000 Testunge Rekordzahl erreichen werden Schnitt geben September bisher durchschnittlich 13200 Test Hauptursache Infektion gelten reiserückkehr 1100 Kroatien rund 600 Türkei regional Clusterbildung privat fest barbesuchen erster Wiener Spital Kapazitätsgrenze covid-19-patienten erreichen Klinik favoriten ehemals kaiser-franz-josef-spital nehmen intensiv- normalpatienn mehr spitälern sein genug Bett frei heißen bei Gesundheitsverbund 68 corona-patienten intensivstationen davon 38 Wien derzeit befinden Wien 173 covid-19-patienten Krankenhaus 38 davon intensivmedizinisch betreuen coronavirus-erkrankte Spital behandeln müssen stehen derzeit laut Wiener Gesundheitsverbund 400 Normalbett 150 intensivstationen Verfügung zusätzlich bettenkapazitäen Bedarfsfall sofort covid-erkrankte freimachen sagen Sprecher Gesundheitsverbunds vormals Kav aktuell etwa Klinik Hietzing covid-station vorbereiten bemerkenswert Österreichweit 68 Patient intensivstationen 38 Wien Montag treten Österreich verschärfen Maßnahme Veranstaltung Kraft gehören · zehn Person Limit gelten sozial Aktivität Gruppe Geschlossen_räumen Yogakurse Spieleabend Hochzeiten Filmvorführung Ausstellung vernissagen kongresse ausnehmen begräbnisse · 100 Person Teilnehmerzahl dürfen gruppenaktivität frei überschreiten professionell Veranstaltung Sicherheitskonzept fix sitzplätzen erhöhen Limit 3000 Person Innenräume maximal 1500 babyelefant Platz herrschen Maskenpflicht · Sport fitnessstudios gelten Gerät Maskenpflicht mannschaftssportarten Hobbybereich zehn-personen-regel ausnehmen Simo 2092020 Österreichweit 68 corona-patienten intensivstationen 38 Wien unterbringen erster Wiener Spital Klinik favoriten Kapazitätsgrenze covid-19-patienten erreichen werden neu Tweet Reuter lisi niesner | Klinik favoriten nehmen corona-patienten mehr
