ID_GodotObject,cluster_value,merged_text
2000122902453,7,﻿20 Protest Demo corona-maßnahmen Wien global Weltverschwörung proteste-demo-gegen-corona-massnahmen-in-wien-das-ist-eine-globale- Weltverschwoerung Protestz üge geben Wochenende Graz Linz Polizei sprechen demo-tourismus Nichteinhaltung Maskenpflicht Abstand werden anzeigen Wiengrazlinz -- Wochenende mehrere städten Österreich Kritiker Maßnahme Bundesregierung Ausbreitung Coronavirus demonstrieren darunter zahlreich amtsbekannen Rechtsextrem Wiener Heldenplatz Sonntag endpunken Demo laut Polizei rund 2000 Teilnehmer anschließen Prominent vertreten identitär Rechtsextrem ehemalig pegida-sprecher Georg Immanuel Nagel sowie rechtsradikale Fußballhooligan gemeinsam skandieren Volk kurz friede Freiheit Diktatur schlagen töpfe Zaungäste Maske werden anpöbeln Polizei Sonntag Wien stundenlang Einsatz Aufforderung Maske tragen Abstand halten werden demonstrierenden ignorieren konspirativ Tautologie Heldenplatz schallt Abschluss boxen schauen bitte Bisschen auseinander stehen Polizei einkessel vieler dank Mut Gesicht zeigen haben werden schwenken österreich-fahnen Applaus quittieren global Weltverschwörung heißen konspirativ tautologisch zugleich menschlich nehmen masketragen natürlich sein sein Maske Welt kommen Samstag Spaziergang Oper geben Polizei erklären angemeldet Demo sowie zwei nichtangemeldeter 17 Uhr beenden Beginn Teilnehmer Wien Maßnahme Verbreitung Coronavirus verhindern sollen halten trotz mehrmalig Aufforderung Polizei Demo beenden erklären bilden zwei nichtangemeldeter demozüge rund 1000 Person Ring weit 500 Innenstadt ziehen Polizei begleiten beide kommen verkehrsbehinderungen Heldenplatz treffen beide Gruppe zusammen Demo werden endgültig beenden schon Samstag Wien rund 250 Demonstrierend erster Bezirk ziehen Bereich Friedrichstraße werden Nichtgenehmigte Kundgebung sogenannter querdenk auflösen vorangegangen auflösungsversuch werden ignorieren lassen auflösen frei Bürger skandieren weiterziehenden Graz Samstag -- zweiter mal innerhalb weniger Tag -- ebenfalls Hundert Teilnehmer unterwegs gehen Hauptbahnhof Hauptplatz vieler Teilnehmer mund-nasen-schutz unterwegs Initiator Grazer Demo Stephanitag rund 1000 Teilnehmer kommen werden mittlerweile wegen Nichteinhaltung Schutzmaßnahmen anzeigen verhüllenden Maske schon Neujahrstag Linz Gegner corona-maßnahmen protestieren -- laut Polizei rund 1000 Polizeisprecher David Furtner sprechen Demonstrationstourismus vieler Teilnehmer Wien Steiermark Salzburg Österreich ziehen Schärding Braunau Ried demonstrieren Wochenende weißgekleiden Person Maßnahme posieren Hitler Geburtshaus Braunau Gruppenbild kurios Detail mund-nasen-schutz protestierenden tragen dabei Kunststoffmask absehen zwei klein löchern Auge gesamt Gesicht verhüllen offenbar Problem red 312021 weiterleiten Angriff Presse querdenk -demos Journalistenvertreter alarmieren Hippies Nazi Verschwörer Antisemitische Gefahr querdenk Standard Standardneuer Tweet | Demo corona-maßnahmen Wien global Weltverschwörung
2000123940035,7,﻿20 Faschingsumzug wenig Interesse demos corona-maßnahmen Wien Eisenstadt Faschingsumzug -wenig-interesse-an-demos-gegen-corona-massnahmen-in-wien-und- Eisenstadt Sonntag zählen Demonstration Wiener Innenstadt kaum Teilnehmer Salzburg freilassing werden Grenze demonstrieren Wien -- gering Interesse Demonstration Gegner corona-maßnahmen Sonntag Wien stoßen fahrzeug-demo Ring ziehen laut Polizei statt angemeldet 1800 fahrzeugen lediglich Reisebus gut Dutzend pkw früh Nachmittag schon beenden maria-theresien-platz versammelen danach überschaubar Anzahl Demonstrant Lage ruhig Faschingsumzug getarnen Kundgebung 14 Uhr maria-theresien-platz Polizei anmelden kommen Angabe beobachtern etwa 100 Demonstrant teils kostümieren ab 15 Uhr selber Ort Standkundgebung pro Demokratiereform anmelden versammeln kalt Nieselwetter paar Dutzend Person Polizei Ort stellen fordern per Durchsag Maske tragen zwei Meter Abstand halten halten daran spät Abend teilen Landespolizeidirektion Wien 20 anzeigen wegen Nichteinhaltung mindestabstand 23 anzeigen wegen Nichtbeachtung Maskenpflicht sowie sieben anzeigen organmandat wegen verwaltungsrechtlich Bestimmung geben wenig los Eisenstadt Demo corona-maßnahmen Eisenstadt Sonntagnachmittag ebenfalls weniger Teilnehmer anlocken rund 90 Person spazieren Lockdown corona-gesetzgebung burgenländisch Landeshauptstadt Lage dabei durchwegs ruhig berichten Sprecher Landespolizeidirektion Burgenland Demonstrant sein groß zwischenfälle Route abgangen zwei Teilnehmer sein wegen Nichttragen mund-nasen-schutzes anzeigen werden Grenz-demo Salzburg freilassing unterdessen berichten bayerisch Polizei Sonntag Kundgebung corona-maßnahmen grenzschließungen Samstag Salzburg -- saalach trennen -- benachbart freilassing deutsch Seite drei festnahmen geben zwei Person werden wegen beleidigungsdelikn Person wegen zeigen hitlergruß vorläufig festnehmen bzw anzeigen deutsch Seite 1500 Mensch weit mehr Veranstalter anmelden werden kommen österreichisch Seite hingegen 500 weniger 2000 angekündigt Demonstrant Protest verlaufen beide Land weitgehend friedlich -- trotz gegenteilig Ankündigung Veranstalter Aufforderung Ort -- Schutzmaßnahmen Abstand Maske einhalten werden zuständig Polizeisprecher berichten verstößen rechtlich prüfen ansonsten werden mehrere Person Identität feststellen 31 Parkstraf ausstellen heißen Bayern zweiter Demo Salzburger Innenstadt zweiter Demo Salzburger Innenstadt kommen rund 150 Teilnehmer Mindestabstand sein laut Polizei größtenteils einhalten werden Maske sein wegen massiv einschreitens Polizei aufgesetzt werden geben 22 verwaltungsrechtlich anzeigen 14 wegen Nichttragen mund-nasen-schutzes zwei wegen Nichteinhalten mindestabstand vier wegen Lärmerregungen zwei wegen Ordnungsstörung 1545 Uhr unangemeldeen Versammlung Rudolfskai auflösen red 722021 Update 1803 Uhr eisenstadt-demo werden einbauen Update 1934 Uhr zweiter salzburg-demo werden einbauen Wien geben nennenswert Andrang Salzburg versammeln Grenze Deutschland etwa 500 Mensch Apafranz neumayr | wenig Interesse demos corona-maßnahmen Wien Eisenstadt
2000124157392,7,﻿20 Pandemie corona -demos Wien enden anzeigen festnahmen verletzen Pandemie -corona-demos-in-wien-endeten-mit-anzeigen-festnahmen-und- verletzen rund 2000 Mensch Maßnahme Regierung demonstrieren vier Mensch werden festnehmen mehr tausend anzeigen Wien -- trotz verbieten Samstag Wien erneut Demonstrant corona-maßnahmen Regierung zusammenfinden Polizei zählen 2000 Teilnehmer mittags karlskirch treffen Spaziergang Ringstraße starten geben Polizeiblockade Demonstrant wandern daraufhin stundenlang Innenstadt erst Abend Ende geben vier festnahmen wegen versuchen Widerstands Staatsgewalt mehr tausend anzeigen wegen Nichteinhaltung Covid-19-maßnahm zwei-meter-abstands bzw Maskenpflicht werden ausstellen zwei Polizistinn werden verletzen werden Faustschläg attackieren heißen Abschlussbilanz exekutiv Wiener Polizei können Ziel konsequent einschreiten verstößen Covid19-bestimmunge erfolgreich umsetzen werden erklären rund 2000 Mensch nehmen Demo Teil Polizei bestätigen Küssels Anwesenheit Neonazi Gottfried Küssel weit Rechtsextremist Kundgebung teilnehmen teils Seite Polizei marschieren sein Beobachter etwa via Twitter monieren bestätigen Sicherheitskraft Verfassungsschutz sein Einsatz heißen Erfahrung Vergangenheit lassen darauf schließen wohl diesmal Person Radikalerer Gesinnung dabei können Gegendemonstration Linker aktivisen geben groß ganz friedlich Kundgebung alt Kind handeln deshalb Sinn Verhältnismäßigkeit agieren Spontandemo begleiten erklären Polizeisprecher Eskalation verhindern geordnet Ablauf gewährleisten vier Person werden wegen Widerstands Staatsgewalt festnehmen offiziell angemeldet Teil Protest zuvor Karlsplatz fokussieren friedlich Volksfeststimmung Testpflicht Schule Maskenpflicht wettern werden gleichzeitig rufen der Einhaltung wohl deshalb Großaufgebot angetreten exekutiv Einhaltung kontrollieren verweigerer anzeigen stark Tiroler Präsenz auffällig stark präsent Tirol Tiroler Adler fliegen wohin heißen münzen Testpflicht verlassen bundeslands rufen werden kurz Protest richten gesamt Bundesregierung Polizei kontrollieren Bus Tirol dabei stellen heraus 57 Person negativ Test vorlegen können Bundesland Regelkonform Test alt 48_Stunde verlassen Tiroler Adler fliegen wohin heißen beginnen maria-theresien-platz Mittag angemeldet Standkundgebung stattfinden der mehrere hundert Teilnehmer setzen 1320 Uhr Richtung Karlsplatz Bewegung Schwesterveranstaltung Dazugesellt werden zahlreich österreich-fahnen mitgeführen schwedisch sehen wohl wegen Recht lockeren umgangs Pandemie 1322021 Apathomas Karabaczekfoto Apathomas Karabaczekfoto Apathomas Karabaczek | corona-demos Wien enden anzeigen festnahmen verletzen
2000124163685,7,﻿20protest1600 anzeigen corona-demo Samstag Wien Protest 1600-anzeigen-nach-corona-demo-am-samstag-in- Wien Polizei nehmen fünf Person fest anzeigen geben wegen gering Abständ fehlend Maske trotz verbieten Samstag Wien Demonstrierend corona-maßnahmen Regierung zusammenfinden Protest rund 1600 anzeigen Polizei kommen davon 18 strafrechtlich wegen versuchen Widerstands Staatsgewalt tätlich Angriff Beamter vier Person werden strafrechtlich wegen Verdacht versuchen widerstand Staatsgewalt Person verwaltungsrechtlich wegen verstößen Covid-19-bestimmung festnehmen bilanzieren Polizei 2000 Teilnehmer Polizei zählen 2000 Teilnehmer mittags karlskirch treffen Spaziergang Ringstraße starten geben Polizeiblockade Demonstrant -- Neonazi -- wandern daraufhin stundenlang Innenstadt Neonazi Gottfried Küssel weit Rechtsextremist Kundgebung teilnehmen teils Seite Polizei marschieren sein Beobachter etwa via Twitter monieren bestätigen Sicherheitskraft Verfassungsschutz sein Einsatz heißen Gegendemonstration Linker aktivisen geben insgesamt rund 1600 anzeigen stellen Polizei Demo Wien erst Abend Ende Zug großeinsatzes Polizei mehr 1000 beamtinn Beamter kommen Weiter 675 anzeigen wegen Missachtung mindestabstand 609 anzeigen wegen verstoßes Maskenpflicht zwei organmandaten wegen verstößen Covid-19 Bestimmung 288 sonstig verwaltungsstrafanzeigen Video Demo Samstag Tiroler marschieren auffällig stark präsent Demonstration Tiroler Tiroler Adler fliegen wohin heißen münzen Testpflicht verlassen bundeslands rufen werden kurz Protest richten gesamt Bundesregierung Polizei kontrollieren Bus Tirol dabei stellen heraus 57 Person negativ Test vorlegen können Bundesland Regelkonform Test alt 48_Stunde verlassen Tiroler verschlagen Bundeshauptstadt rechtlich Schritt lässen Innenminister Karl Nehammer övp außerdem pr-berater Rudolf fußi prüfen Twitter Einsatz polizeihund kommentieren meinen wahrscheinlich intelligent Durchschnittsmitarbeiter lpd Wien Nehammer bezeichnen Äußerung unzumutbar red 1422021 wegen Missachtung Mindestabstands verstößen Maskenpflicht werden anzeigen legen standardwied demonstrieren Tausend corona-maßnahmen Wien Videoteam Ort Leute Gesprochenfoto Herbert pfarrhof | 1600 anzeigen corona-demo Samstag Wien
2000129584367,7,﻿20_Coronavirus ma ßnahmengegner treffen Wien Demo Coronavirus -massnahmengegner-trafen-sich-in-wien-wieder-zur- Demo lang Pause geben Samstag Marsch Resselpark anschließend Kundgebung Organisator Rutter bisher werden zwischenfälle melden Wien -- Gegner corona-maßnahmen lang demo-pause beenden treffen Samstag Wien Protest Auftakt groß Aktion erfolgen Hauptbahnhof marschieren Teilnehmer früh Nachmittag Karlsplatz beziehungsweise Resselpark Kundgebung ansetzen Organisator Martin Rutter verweisen dabei etwa symbolträchtige Datum heutig Demonstration diverser online-foren seit Tag Megademo mobilisieren werden anmelden werden sogar mehrere Kundgebunge covid-bezug etwa Titel nein Impfung zwingen Druck zwei Veranstaltung werden jedoch untersagen rund 2000 Teilnehmer Protestzug Hauptbahnhof karlskirch bieten inzwischen gewohnt Bild Transparent t-shirts Aufkleber Slogan impfen sicher leider gesund Hand Kind Schluss test Impfzwang sehen trommeln Trillerpfeife sorgen akustisch Begleitung Meistskandierter Slogan Demo mehr kurz Marsch nehmen laut Polizei zunächst rund 1000 Mensch Teil Kundgebung Karlsplatz laut exekutiv etwa 2000 Person zuvor Ballhausplatz versammeln Dazugesellt Organisatoren schätzen Zahl hingegen mindestens 4000 demo-initiator Martin Rutter berichten lassen anwesenden reden wissen treffen heute zufällig 11 September verbinden Tag anschlägen USA 2001 Gewalt zugleich verspüren Druck setzen vorerst zwischenfälle Rutter üben harsch Kritik corona-maßnahmen nehmen Bundesregierung Bundespräsident Alexander van bellen Justiz Visier Frage Verfassungsgerichtshof unfassbar zustände beenden Rutter beklagen geben vieler tot geschädigen Impfung warnen quarantänecamps Australien planen sein sowjetisch gulags gemahnen befinden Freiheit kriegen schenken holen richten Rutter Teilnehmer werden Kreidestift verteilen Pflaster Parole schmücken corona schwach heißen etwa Rednerpult prangen groß karlskirch montiertes Transparent fehlen Meer darauf lesen montieren werden schon lang Zeit Demo tun Installation werden Rahmen künstlerhaus-ausstellung Pandemie anbringen zwischenfälle werden vorerst melden Polizei apa-anfrage mitteilen Situation sein Zeit streng Coronabestimmung beachten betonen Sprecher müssen verstößen Mindestabstand Maskenpflicht mehr ahnden führen Kundgebunge friedlich ruhig verlaufen 1192021 Kundgebung Karlsplatz joe Klamar | Maßnahmengegner treffen Wien Demo
