publishingDate,ID_GodotObject,sentiment_score
2021-08-31 14:27:42.000,2000129305914,-0.004928834355828221
2021-09-04 09:21:20.450,2000129408042,-0.012969908814589669
2021-09-05 13:19:32.600,2000129417401,-0.0023408955223880594
2021-09-10 06:52:45.000,2000129542531,-0.005790485436893203
2021-09-10 18:51:27.000,2000129574113,-0.005100338983050848
2021-09-11 12:54:21.000,2000129581597,-0.007869000000000001
2021-09-11 17:40:54.000,2000129584367,-0.011101079136690646
2021-09-13 11:35:07.000,2000129604031,-0.004128590785907859
2021-09-16 13:15:56.000,2000129703306,-0.014498784194528878
2021-09-21 17:52:31.000,2000129831411,-0.02342989130434783
2021-10-08 07:53:46.000,2000130275144,-0.004721186440677967
2021-10-14 11:30:48.000,2000130436224,-0.002497938144329897
2021-10-17 15:52:08.000,2000130505680,-0.005480312500000001
2021-10-27 11:00:47.160,2000130732406,-0.00032908011869436194
2021-10-30 12:02:14.000,2000130816685,-0.004144276457883369
