ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive,merged_text,p_merged_text
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True,"Nö, noch um einiges schlimmer. | ",nö schlimm
1051795844,-1,2000116189812,549599,1.0,,In Russland wird auch schon die Armee in Stellung gebracht. Habe soeben Bilder der Truppenbewegungen von Freunden/Kollegen aus Moskau erhalten. Der Lockdown dort wird aber ein wenig anders aussehen als in Europa (aber mehr Effekt haben).,2020-03-26 14:57:20.867,False,True,In Russland wird auch schon die Armee in Stellung gebracht. Habe soeben Bilder der Truppenbewegungen von Freunden/Kollegen aus Moskau erhalten. Der Lockdown dort wird aber ein wenig anders aussehen als in Europa (aber mehr Effekt haben). | ,Russland schon Armee Stellung bringen soeben Bild Truppenbewegung Freundenkollege Moskau erhalten Lockdown wenig aussehen Europa mehr Effekt
1051796177,1051793191,2000116189812,578944,1.0,,"Wenn die Mutter nur eines Kindes in der Klasse Altenbetreuerin ist, oder die Eltern eines anderen die Großmutter pflegen, haben wir den Salat. Man kann nur anderes Sozialverhalten auch bei den Kindern einfordern.",2020-03-26 15:02:40.197,False,True,"Wenn die Mutter nur eines Kindes in der Klasse Altenbetreuerin ist, oder die Eltern eines anderen die Großmutter pflegen, haben wir den Salat. Man kann nur anderes Sozialverhalten auch bei den Kindern einfordern. | ",Mutter kindes Klasse Altenbetreuerin Eltern Großmutter pflegen Salat Sozialverhalt kindern einfordern
1051796529,1051796050,2000116189812,122835,1.0,,"Aber Reißverschluss vorm Mund schön zulassen, gell?! ;)",2020-03-26 15:08:25.660,False,True,"Aber Reißverschluss vorm Mund schön zulassen, gell?! ;) | ",Reißverschluss vor Mund schön zulassen gell zwink
1051797363,-1,2000116189812,308777,1.0,,Schweden geht einen ganz anderen Weg. Sind das dort lauter Vollpfosten?,2020-03-26 15:21:39.020,False,True,Schweden geht einen ganz anderen Weg. Sind das dort lauter Vollpfosten? | ,Schweden gehen ganz laut vollpfosen
1051797433,1051797213,2000116189812,508727,1.0,,"10% vielleicht wenns hoch her geht, die anderen 40% sind asymptomatisch, und die restlichen 50% 4 Tage Fieber, ich glaub wir sollten ned übertreiben....",2020-03-26 15:23:07.990,False,True,"10% vielleicht wenns hoch her geht, die anderen 40% sind asymptomatisch, und die restlichen 50% 4 Tage Fieber, ich glaub wir sollten ned übertreiben.... | ",10 vielleicht wenns hoch her gehen 40 asymptomatisch restlich 50 4 Tag Fieber Glaub sollen ned übertreiben
1051798417,1051797496,2000116189812,632025,1.0,,"Ebensowenig Arbeitsaufnahme nein, Freizeitkontakte ja.",2020-03-26 15:38:37.590,False,True,"Ebensowenig Arbeitsaufnahme nein, Freizeitkontakte ja. | ",ebensowenig arbeitsaufnahmen nein freizeitkontaken ja
1051800287,-1,2000116189812,184470,1.0,Nicht sinnvoll,"Forschungen, Studien, Statistiken unddieganze damit verbundene Lügerei in allen Ehren - daran, dass nach Ostern die Betriebe und Geschäftewieder aufsperrren, führt kein Weg vorbei! Eswird zwar zu einer überbordeneden Welle an Infitizierten kommen, doch bei weiterem wirtschaftlichen Stillstand drohen echte Versorgungsengpässe, und in Kürze der Bürgerkrieg. Wenn man gesehen hat, wie allein von Fake News die Leut; plötzlich wie die Trotteln Nudeln & Häuslpapier gehamstert haben, dann kann man sich ca. ansatzweise ausmalen, was los ist, wenn's echt nichts mehr zum Futtern gibt. Wennst ihm sein Papperl wegnimmst, dann wird sogar der gelernte Österreicher zum Berserker! Dann lieber komplette Durchseuchung mit anschliessender Herdenimmunität...",2020-03-26 16:09:27.953,True,False,"Forschungen, Studien, Statistiken unddieganze damit verbundene Lügerei in allen Ehren - daran, dass nach Ostern die Betriebe und Geschäftewieder aufsperrren, führt kein Weg vorbei! Eswird zwar zu einer überbordeneden Welle an Infitizierten kommen, doch bei weiterem wirtschaftlichen Stillstand drohen echte Versorgungsengpässe, und in Kürze der Bürgerkrieg. Wenn man gesehen hat, wie allein von Fake News die Leut; plötzlich wie die Trotteln Nudeln & Häuslpapier gehamstert haben, dann kann man sich ca. ansatzweise ausmalen, was los ist, wenn's echt nichts mehr zum Futtern gibt. Wennst ihm sein Papperl wegnimmst, dann wird sogar der gelernte Österreicher zum Berserker! Dann lieber komplette Durchseuchung mit anschliessender Herdenimmunität... | Nicht sinnvoll",Forschung Studie Statistik Unddieganze verbunden Lügerei ehren daran Ostern Betrieb geschäftewied aufsperrren führen vorbei Eswird überbordeneden Welle infitizieren kommen weit wirtschaftlich Stillstand drohen echt versorgungsengpässe Kürze Bürgerkrieg sehen allein Fake -- Leut plötzlich Trottel nudeln Häuslpapier hamsteren can ansatzweise ausmalen los wenns echt mehr futtern geben wennst Papperl Wegnimmst sogar lernen österreich Berserker lieb komplett Durchseuchung anschliessend Herdenimmunität sinnvoll
1051807280,1051805988,2000116189812,580512,1.0,,"Zumindest das Abflachen ist eine sehr gute Idee und reduziert ganz gewalltig die Todesfälle. Wenn man die Kurve nicht abflacht und es zu einer sehr hohen Infektionsrate kommt, dann sterben viele mit und ohne Covid-19 da man im Spital keine Kapazitäten mehr hätte zu helfen. Natürlich kann man nicht aller retten aber man hat mit solchen Maßnahmen in der Vergangenheit schon gesehen, dass man die Todeszahlen um einen Bruchteil eindämmen kann. Wenn man schnell genug damit anfängt. Und das haben wir auf Bundesebene getan.",2020-03-26 18:22:21.193,False,True,"Zumindest das Abflachen ist eine sehr gute Idee und reduziert ganz gewalltig die Todesfälle. Wenn man die Kurve nicht abflacht und es zu einer sehr hohen Infektionsrate kommt, dann sterben viele mit und ohne Covid-19 da man im Spital keine Kapazitäten mehr hätte zu helfen. Natürlich kann man nicht aller retten aber man hat mit solchen Maßnahmen in der Vergangenheit schon gesehen, dass man die Todeszahlen um einen Bruchteil eindämmen kann. Wenn man schnell genug damit anfängt. Und das haben wir auf Bundesebene getan. | ",zumindest abflachen gut Idee reduzieren ganz gewaltig todesfälle Kurve aufwacht hoch Infektionsrate kommen sterben vieler covid19 spital Kapazität mehr haben helfen natürlich retten Maßnahme Vergangenheit schon sehen todeszahlen Bruchteil eindämmen schnell genug anfangen Bundesebene tun
1051994953,-1,2000116305030,551954,1.0,,Guten Morgen allerseits.,2020-03-30 06:09:17.083,False,True,Guten Morgen allerseits. | ,gut morgen allerseits
1051995032,1051995006,2000116305030,606080,1.0,,Die Wahrscheinlichkeit sich zu infizieren nimmt halt mir Abstand dramatisch ab....,2020-03-30 06:22:20.603,False,True,Die Wahrscheinlichkeit sich zu infizieren nimmt halt mir Abstand dramatisch ab.... | ,Wahrscheinlichkeit infizieren nehmen halt Abstand dramatisch ab
